研究課題/領域番号,研究課題名,研究課題名 (英文),教員名,研究代表者,キーワード,研究分野,研究内容,研究内容 (英文)
25K06611,熟練外科医の暗黙知を学習したAIによる対話型手術教育ツールの開発,Development of an Interactive Surgical Education Tool Using AI Trained on the Tacit Knowledge of Expert Surgeons,徳安 達士,"徳安 達士 福岡工業大学, 情報工学部, 教授 (50435492)",暗黙知 / 教育システム / 人工知能,,本研究は、熟練外科医が術中に活用している解剖学的ランドマークの認識に関する暗黙知をAIに学習させ、その情報を活用した対話型の手術教育ツールを開発することを目的とする。対象は、産婦人科領域の腹腔鏡下広汎子宮全摘出術であり、術中における血管および尿路損傷などの合併症の発生を低減させることを目指す。学習者はAIとの対話を通じて術野の理解を深めるとともに、自身の認識力や判断力を客観的に評価・改善できる。本ツールは、手術教育の質向上と個別最適化を実現し、教育のデジタルトランスフォーメーション（DX）を促進する。また、若手外科医の育成、医療技術の均質化、安全性の向上にも寄与することが期待される。,
25K03793,コミュニティにおける盆踊りの継承を支える盆の意味と演目・演者に関する民俗学的研究,,田中 久美子,"田中 久美子 福岡工業大学, 社会環境学部, 准教授 (40508503)",盆踊り / コミュニティ / 文化遺産 / 民俗芸能,,盆踊りは死者と接点を持つ機会であるだけではなく、誰もが気軽に踊りの輪の中に入ったり、観客になったりして楽しむことができる身近な民俗芸能であり、地域づくりにつながるものとして評価されている。ところが、文化遺産の観光の盆踊り・イベントの盆踊り・自治体の音頭に比べると、地域コミュニティで以前より踊られてきた盆踊りの修得の機会は限定的であり、継承の難しさがある。本研究では、地域コミュニティの盆踊りの場や空間の構成、演目・踊りの選択や担い手の人々の関係性に注目し、地域コミュニティが盆踊りを継承するための工夫や条件を明らかにすることを研究の目的とする。,
24K20805,多次元的かつ非侵襲的なセンサとAI技術の融合による食品鮮度と風味評価システムの開発,Development of a food freshness and flavor evaluation system through the fusion of multidimensional and non-invasive sensor and AI technologies,巫 霄,"巫 霄 福岡工業大学, 工学部, 助教 (20825351)",風味評価 / 鮮度評価 / 嗅覚 / 視覚 / AI,,本研究では、冷蔵庫内の生鮮食品から放出される揮発性物質を酸化物半導体式ガスセンサアレイで計測し、食品の色彩や成分変化も可視近赤外センサでモニタリングします。これにより多次元データを取得し、嗅覚・視覚情報を組み合わせた精度の高い鮮度評価を目指すとともに、味覚センサを利用して風味の変化も数値化します。,
24K16378,二酸化炭素排出削減策の導入可能性と経済性を考慮した航空産業の脱炭素経路分析,,鬼頭 みなみ,"鬼頭 みなみ 福岡工業大学, 社会環境学部, 助教 (60981628)",脱炭素 / 航空産業,,気候変動対策として、航空産業からの二酸化炭素（CO2）排出量を2050年までに実質ゼロにする目標が定められているが、大幅な排出削減が可能なSAF（持続可能な航空燃料）等の排出削減技術は、技術の成熟度や費用面で不確実性が高く、航空産業の脱炭素化は非常に難しいとされている。本研究は、航空産業からのCO2排出量が多い国を対象に、SAF等の技術的な削減策と飛行距離抑制や排出量取引等の経済的な削減策を組合せた、目標達成経路と目標達成費用を明らかにする。分析を通して、技術的にも経済的にも実現可能性の高い目標達成経路と、目標達成のために、政府、航空会社、消費者の各経済主体に求められる取組について議論する。,
24K15131,筋骨格構造のメカニズム特性が運動生成に与える影響の解明,,松谷 祐希,"松谷 祐希 福岡工業大学, 工学部, 准教授 (80757120)",筋骨格システム,,人間はロボットでの実現が困難な巧みな運動を容易に実現することができる．その理由として，人間の身体行動である筋骨格構造が深く関係していると考えられている．しかし，筋骨格構造のメカニズムが人間の運動にどのような影響を与えているかは明らかになっていない．本研究では，筋骨格構造の関節角度に応じて変化する筋肉のモーメントアームと二関節筋による協調動作に着目し，筋骨格構造のメカニズムと運動生成の関係を明らかにする．変動する関節の回転軸と二関節筋を模倣した機構を有する筋骨格型ロボットを構築することで，複雑な実時間計算を必要としない，筋骨格構造に基づいた運動生成法を確立する．,
24K14886,XAI時代に向けた説明可能な機械学習用畳込み演算コンピューティングインメモリ,Convolutional Computing In-Memory Architecture for Explainable Machine Learning Computing for XAI Era,山内 寛行,"山内 寛行 福岡工業大学, 情報工学部, 教授 (70425239)",Computing in Memory / 機械学習 / XAI,,機械学習用積和演算結果をMemory-Cell内でComputing（CIMC)する現存の構造では演算オペラントWは記憶できるが、個々の部分積は原理的に記憶できずブラックボックス化している。そのために、わずかなデータ改ざんで誤判別するメカニズムを解析できない懸念があり対策を可能にする手段が新たに必要である。ブラックボックス化されている部分積をCell内に記憶して、本研究では「すべての部分積の変動を追跡し悪意のある誤判別メカニズムを解析可能にする。一方で、本質を損なわず新たなXAI時代に求められる追跡機能を実現する。どこでもAIに向けての説明可能な機械学習（XAI）用積和演算器を目指す。,
24K08153,超臨界活性化による多孔性金属錯体のナノ界面歪みを利用した合金ナノ粒子触媒の創成,Fabrication of metal alloy nanoparticle catalysts from nano-interface distortion of porous metal complexes by supercritical activation,松山 清,"松山 清 福岡工業大学, 工学部, 教授 (40299540)",超臨界流体 / 多孔性金属錯体 / ナノ粒子 / ハイエントロピー合金 / 触媒,,本課題では、超臨界活性化により高比表面積を維持したまま細孔・結晶構造に歪み・欠陥や無秩序な結晶構造からなる特異なナノ界面歪み有する金属有機構造体(MOF)等の多孔性金属錯体のナノ細孔を反応場とし、超臨界含浸法を用いて多孔性金属錯体のナノ細孔中にも金属元素の前駆体を含浸させ、水素還元処理を経て、ハイエントロピー合金(HEA)ナノ粒子触媒の合成技術を創生する。HEAナノ粒子をクリーン化学エネルギーである水素の製造技術として注目されている水電解反応に応用するため、水電解反応における触媒活性とHEAナノ粒子触媒の構造最適化について検討する。,
24K07688,潮汐の長期変化メカニズムの解明と水環境への影響予測,Long-Term Mechanisms of Tide Variation and Predicting Their Impact on Aquatic Environments,田井 明,"田井 明 福岡工業大学, 社会環境学部, 准教授 (20585921)",潮汐 / 沿岸海洋 / 長期変化 / 水環境,,潮汐および潮汐に駆動される潮流は，全海洋に生じる最も基本的で，水環境や防災の面から重要な外力である．特に沿岸海洋の数値シミュレーションにおいては必ず外海側の境界条件として考慮される要素である．しかし，近年の研究で外洋潮汐が長期的に変化・変動していることが明らかとなってきたが，そのメカニズムは解明されておらず，将来どのように変化・変動していくのかも不明である．本研究では，（１）過去の全球的な潮汐変化の長期変化メカニズム，（２）将来の変化予測をデータ解析と数値シミュレーションにより明らかにすることを目的とする．また，その（３）潮汐変化が水環境にどのような影響を与えるのかについても予測を行う．,
24K07511,合成開口レーザレーダにおける検出法の改善による遠距離物体高解像可視化の研究開発,Research on high-resolution laser radar for visualizing long-distance objects by improving detection methods,近木 祐一郎,"近木 祐一郎 福岡工業大学, 工学部, 教授 (10398109)",レーザレーダ / 合成開口方式 / イメージング / 遠距離化,,本研究は地表面などの形状変化を1km以上の遠隔から安全かつ数㎝の高解像度で詳細に可視化できる合成開口レーザレーダの研究開発を行う。合成開口レーザレーダは原理的に高解像度の可視化が可能であるが、既存の合成開口レーザレーダは受信器の受光面積や多段の信号処理系により信号の損失が大きく、距離20m程度の測定対象物しか可視化できていない。本研究で提案する新たな測定系は、受光面積が大きなビデオディテクタを採用することによる、送・受信光学系の開口の拡大、中間周波数信号の直接出力による変換損失の低減が期待され、出力信号の大幅な信号対雑音比(S/N比)の改善による測定可能距離延長の実証を目指す。,
24K07395,DNNとマルチスケール解析を用いた材料設計・機械システムの動特性最適化の同時実現,,鞆田 顕章,"鞆田 顕章 福岡工業大学, 工学部, 助教 (20582414)",機械力学・制御 / マルチスケール解析 / 分子動力学 / 深層学習 / 機械的特性,,機械システムの構造および動特性最適化にはFEM（有限要素法）が用いられるが，金属材料の内部摩擦に起因する振動減衰能の再現が困難であり，CAEによる最適設計の障壁となっている．そこで本研究では，材料内部の原子挙動を高精度に推定することが可能なMD（分子動力学法）とFEMを組み合わせた次世代型統合振動シミュレータおよび深層学習によるトポロジー最適化手法を用いた逆問題解析法の開発に挑む．さらに，本研究で構築する深層学習を用いたトポロジー最適化手法を用いて，新たな制振合金の探索および制振合金を含む複数の材料で構成される機械システムの動特性最適化を同時に行う．,
24K04733,政治コミュニケーションにおける感情とレトリック,Emotion and Rhetoric in Political Communication,木下 健,"木下 健 福岡工業大学, 社会環境学部, 准教授 (30735296)",政治レトリック / 議会 / 国会 / 感情,,"2016年のイギリスのEU離脱をめぐる国民投票（2016年6月23日に実施）やアメリカ大統領選（2016年11月8日に実施）が行われて以降、ポストトゥルース政治が到来した。ポストトゥルース政治は、世論形成にあたって感情への訴えかけや個人の信念よりも客観的事実が影響力を持ちにくい状況を指す。
本研究課題では、政治家がいかなる表情やレトリックを用いて、国会で質疑を行い、また大臣等の答弁者はいかに回避のレトリックを用いているかを明らかにする。加えて、レトリックとしてメタファー（比喩表現）を取り上げ、いかなる表現を用いて、人々の恐怖に訴えかけ、同情を引き出しているかを明らかにする。",
24K00876,体温で発電・蓄電するウェアラブルデバイス開発のための熱・電気制御因子の解明,Elucidation of thermal and electrical control factors for the development of wearable devices that generate and store electricity using body temperature,田島 大輔,"田島 大輔 福岡工業大学, 工学部, 教授 (10531452)",ウェアラブルデバイス / 熱電変換 / 電気二重層キャパシタ,,申請者らのグループが解明した熱から電気を取り出す電子スピン(回転)の新たな現象は，体温と外気温の温度差から安定的に電気を供給できるウェアラブルデバイスの開発に貢献できるものである。本研究では，熱から電気を取り出すことができる材料(熱電変換材料)および取り出した電気を直接貯めることができる材料(蓄電材料)に着目し，熱から電気を効率良く取り出すために必要な要素，電気を貯める材料の応答性や容量などの性能に及ぼす内部因子に着目する。,
24K00180,居住を超えた社会経済的セグリゲーションに関する地理学的研究,A geographical exploration of socio-economic segregation beyond residential places,上杉 昌也,"上杉 昌也 福岡工業大学, 社会環境学部, 准教授 (50791886)",セグリゲーション / 居住地選択 / 大都市圏 / 人流データ / 不平等の再生産,,本研究では，日常およびライフコース上で重要な役割を果たす教育や就業などの場での分断を含む居住以外の様々な生活領域でのセグリゲーションに着目し，日本の都市圏における都市住民の学校や就労先の選択に関わる長期の居住地選択プロセスや，日常的な通学や就業による人口流動から居住地との関係をとらえ，動態的な社会経済的セグリゲーションの全体像を解明することを目的とする。また，移民や福祉・住宅制度の異なる都市間での国際比較を通じて，社会経済的セグリゲーションの連鎖の差異を生み出す文脈的要因を含めた体系的な理解を目指す。,
23KJ2127,ナノテクノロジーを介した農作物における物質の時空間的制御に基づく環境調和デザイン,,谷口 琢紀,"谷口 琢紀 福岡工業大学, 工学研究科, 特別研究員(PD)",,,近年、ナノ粒子の農学的利用は注目を集めているが、その報告は植物に対する施用効果を調査した研究がその大半を占める。しかしながら、ナノ粒子表面には生体分子の修飾が可能であることから、農薬や化学肥料の施用による環境負荷を低減する副資材としてナノ粒子利用が考えられる。そこで本研究では、ナノテクノロジーという他分野で広く利用されている技術を農業分野において応用し、植物における物質の時空間的制御を可能にすることで、新たな減肥・減農薬を達成するアプローチを提案することに加え、ナノ粒子の農学的利用を推進し得る新技術の創出を図りたい。,
23K13624,第一原理計算に基づく二次元材料の積層・欠陥を利用した原子スケールフォノニクス開拓,,三澤 賢明,"三澤 賢明 福岡工業大学, 工学部, 助教 (00823791)",フォノン / 結晶粒界 / ２次元物質 / 積層構造 / 密度汎関数法 / 分子動力学法 / 低次元材料,,本研究では，トポロジカル絶縁体におけるトポロジーの概念をフォノンに適用した「トポロジカルフォノニクス」の構想と全原子第一原理計算に基づき，超高周波弾性波を高度に制御するための方法論に関する基礎研究を展開する．原子スケールの構造が強く影響する系において，ナノスケールの構造が物質中のフォノンに及ぼす影響を明らかにする．さらに，二次元積層構造における層のずれにより生じる超格子を利用した，新たなフォノン制御指針の確立を目指す．また，本課題で駆使する解析技術により，複雑な電子状態を有する遷移金属化合物における構造と電子状態に関する研究にも着手する．,
23K13300,単一のモータで駆動可能な任意荷重の荷重補償機構を有するマニピュレータの研究,Study of manipulator with load compensation mechanism for arbitrary loads that can be driven by a single motor,玉本 拓巳,"玉本 拓巳 福岡工業大学, 工学部, 助教 (30800908)",マニピュレータ / 荷重補償 / 遊星歯車機構 / 荷重補償機構 / 差動機構,,主にマニピュレータの省エネルギ化を目的として，機構的に負荷荷重を補償する荷重補償機構が古くから提案されてきた．近年では，負荷荷重の変動へ適応することはこの分野の重要な課題として捉えられており，手動または専用のアクチュエータにより適応する機構が提案されている．本研究では，荷重補償機構に差動機構を組み込むことで，マニピュレータを駆動するためのアクチュエータの動力を利用して補償荷重を調整する機構の開発を目指す．,
23K12949,計算代数幾何手法による超特異曲線とそのモジュライ空間の研究と暗号応用への展開,Study on supersingular curves and their moduli spaces via computational algebraic geometry and its applications to cryptography,工藤 桃成,"工藤 桃成 福岡工業大学, 情報工学部, 助教 (10824708)",計算代数幾何学 / 代数曲線 / 超特別曲線 / 高種数曲線 / 同種写像グラフ / superelliptic曲線 / グレブナー基底 / 同種写像暗号 / 超特異曲線 / モジュライ空間 / 耐量子計算機暗号,,"数学とその応用分野において，代数曲線は古くから研究されてきた重要な研究対象であり，特に代数幾何学・整数論およびその応用分野である暗号数理分野でよく研究されている．
本研究では，曲線を分類する上で特に重要な役割を果たす，超特異曲線と呼ばれる曲線の（非）存在性の決定，そして存在する場合は曲線のモジュライ空間における超特異軌道の構造の決定を主課題としている．
副課題として，代数曲線にまつわる計算代数幾何アルゴリズムの開発や，代数曲線やアーベル多様体の暗号数理分野への応用（同種写像暗号の安全性解析など）にも取り組む．これらの研究の完成により，代数学の諸分野に加えて情報セキュリティに対する貢献も可能となる．",
23K11990,環境センサと移動ロボットを連携した見守りシステムの教師なし学習による認識精度向上,,佐竹 純二,"佐竹 純二 福岡工業大学, 情報工学部, 准教授 (60392726)",見守りシステム / 移動ロボット / 呼吸推定 / 機械学習 / 状態推定,,近年、一人暮らしの高齢者の増加に伴って孤独死や疾患の発見の遅れが問題になっており、見守りシステムの需要が高まっている。そこで、我々は天井カメラを用いて人物の転倒などの異常を検知し、移動ロボットが近づいて状態確認を行う見守りシステムの開発を行っている。本研究ではそれを改良し、機械学習の技術を用いて認識性能を向上させる方法について研究する。特に、膨大な学習データの分類やラベル付けを手動で行うには限界があるため、システムが自分で学習データの分類を行う教師なし学習（または半教師あり学習）が必要であり、本研究ではその方法について研究する。,
23K11666,伝統工芸産業振興に資するEC空間の構築－メタバースと複合現実の融合－,,石田 智行,"石田 智行 福岡工業大学, 情報工学部, 教授 (00719148)",メタバース / リアルタイムビデオアバタ / 複合現実 / 伝統工芸産業 / 画像処理 / 機械学習 / 空間共有,,クールジャパン資源は，その内容が多様かつ資源ごとにそれぞれの特性があり，これらの資源の特性を踏まえた効果的な情報発信が求められるものの，依然ホームページ等の情報発信に留まっている状況にある．本研究では，新しいリアルタイムビデオアバタ生成法により，時と場所を超えたメタバース上で海外市場も踏まえた生産者と消費者の商談の場とするEC空間を構築するとともに，現実世界の中に3Dなどの仮想世界をシンクロさせる複合現実技術を用いることで，自宅等において伝統工芸品をホログラフィックに映し出す伝統工芸体験MR空間を構築する．これにより，時間と場所を越えた日本の良き伝統文化の体験の場を実現する．,
23K11297,においと色の連想関係における定量化手法確立と嗅覚-視覚モジュレーション機構解明,,田村 かおり,"田村 かおり 福岡工業大学, 情報工学部, 准教授 (00762535)",嗅覚 / 脳波 / 事象関連電位 / 連想 / 色 / 視覚 / 色覚 / マルチモーダル処理 / 生体信号,,"嗅覚知覚や認知は個人差が大きいため、嗅覚-他感覚モジュレーションの定量化は難しい。申請者らは先行研究にて、柑橘系のにおい提示によりオレンジ色記憶時の記憶成績や注意関連脳波応答の抑制を観察した。この結果をふまえ、期間内で以下の目的を設定した。1)においから連想できる色を定量化し、嗅覚連想の個人内・個人間分散定量化手法を確立する。 2）「印象個人差の小さいにおい」が連想色どんな認知影響を及ぼすか、行動・神経応答の両側面から解明を目指す。
1)に関連し、におい連想色の定量化を行う。2)に関連し、脳波計測を導入し、色記憶に対する嗅覚影響を検討する。",
23K11256,情報流の最適化による機能分化と情報統合の実現,Realization of functional differentiation and information integration through optimization of information flow,山口 裕,"山口 裕 福岡工業大学, 情報工学部, 助教 (80507236)",機能分化 / リカレントニューラルネットワーク / 相互情報量 / アトラクタ / カオス / 深層学習 / 情報統合,,脳は多様な情報をその種類や学習の仕方に応じてそれぞれ局所的な領域で分散的に処理するとともに，それらの情報を相互に関連づけ統合して判断を行っている．数理モデルを用いて，この機能分化と情報統合に関する普遍的な原理を発見し，その原理を機械学習課題に応用することを本研究では目指す．情報の流れの最適化という拘束条件に基づいた機能分化と情報の統合を実現する脳型ネットワークを構築する手法の探求を目的とする．,
23K11226,大規模固有値問題の高速高精度アルゴリズムの開発,Fast and accurate algorithms for solving large eigenvalue problems,宮田 考史,"宮田 考史 福岡工業大学, 情報工学部, 准教授 (90581645)",高速高精度アルゴリズム / 固有値問題 / 知能情報工学,,固有値問題は主要な工学問題であり、ネットワーク解析や電子状態計算、構造解析など、様々な応用分野に現れる。特に、現実問題の解析には莫大な計算時間を要するため、より速く、より正確に求解可能な高速高精度アルゴリズムが求められる。また、固有値問題は応用分野に応じて多様な形式を有する複合的な工学問題であり、その特徴に応じた効率的なアルゴリズムが必要である。本研究は、幅広い応用問題の解析を目指して、固有値問題を解くための高速高精度アルゴリズムの開発に取り組む。,
23K11092,IoT/CPSにおけるQoE向上のためのOFDMA動的資源割当の研究,Study on efficient resource allocation in OFDMA for improving QoE in IoT/CPS,田村 瞳,"田村 瞳 福岡工業大学, 工学部, 准教授 (30423601)",IEEE802.11ax / OFDMA / OFDM / RU (Resource Unit) / トーン数割当 / フレーム集約 / IoT / CPS / QoE / 資源割当,,本研究課題では，OFDMAを適用可能なWi-Fi6対応の無線LANにおいて，1台のアクセスポイント（AP）から複数ステーション（STA）へのダウンリンク通信に対して機械学習を用いてリアルタイムにリッチコンテンツ/IoTトラヒックの2種類の分類を行った上でOFDMAでの資源割当を行う手法を提案する．これに加え，さらにリッチコンテンツ内の制御パケット/データパケットを分類して資源割当を行うOFDMA資源割当手法を提案し，その有効性をシミュレーションにより評価する．,
23K11042,超伝導単一磁束量子回路による発振器ベースの真性乱数生成器の開発,Development of an oscillator-based true random number generator using superconducting single flux quantum circuits,小野美 武,"小野美 武 福岡工業大学, 工学部, 准教授 (70312676)",超伝導 / 単一磁束量子回路 / 乱数生成器,,本研究では約40 Gbit/sでの乱数生成が可能な、超伝導単一磁束量子回路による発振器ベースの真性乱数生成器の開発を行う。超伝導集積回路の設計・試作は、Nb/AlOx/Nbジョセフソン接合によるチップファンダリにより実現する。本課題の超伝導回路による発振器ベースの真性乱数生成器は、乱数性を担保するための精密な制御電流を必要とせず、回路を構成するゲート数が少ないため、集積回路上で容易に構成できる利点がある。これまでの研究成果を発展させ、単体で10 Gbit/sの乱数生成レート、さらにそのモジュラー化により約 40 Gbit/sの乱数生成が可能となるハードウェア乱数生成器の開発を行う。,
23K04571,反強磁性金属静磁波反射器を用いた静磁波高周波デバイスの開発,,家形 諭,"家形 諭 福岡工業大学, 工学部, 助教 (00585929)",スピントロニクス / 静磁波 / 反強磁性,,今後も変わることなく爆発的に増大する通信トラヒックを支え、さらに５GおよびBeyond 5G時代の「超高速」「超低遅延」「多数同時接続」移動通信を実現するためにはより高い周波数を利用することが絶対に必要な条件である。この「高周波化」にあたって喫緊で解決するべき課題は現在用いられているフィルタが直面する壁、2.5 GHzを超えることである。本研究では現在実用化されているフィルタが用いている弾性波を静磁波に置き換えることにより2.5 GHzの壁を突破し、eyond 5G時代の超高速」「超低遅延」「多数同時接続」移動通信を支えるフィルタ素子を実現する。,
